,nearest_farm
0,10099.969513065213
1,9577.216474347682
2,3866.8992469533755
3,21894.56651184645
4,1579.8061458069012
5,7441.754886499872
6,12452.18183195187
7,10307.99418760449
8,11242.68825188492
9,15285.643585566597
10,20902.139717294704
11,11061.314018568582
12,14495.301540145487
13,6102.550457583166
14,1148.4436737945457
15,9720.518904989265
16,16123.181463232766
17,10301.793365826245
18,15285.318605615317
19,4065.0842542351597
20,15286.176588170842
21,16325.575700066622
22,14625.301472464358
23,10249.237947224792
24,16550.447928810467
25,15265.446022395943
26,11141.629429582983
27,4039.62462495043
28,9334.061859723879
29,10815.396539914818
30,16266.586108310321
31,11890.90797489922
32,4628.241562485024
33,7918.942166615942
34,15256.440255855585
35,1665.0682902247506
36,6504.918928756517
37,13274.610072963978
38,1697.3067677354695
39,6515.688175936762
40,17333.932379412305
41,5529.555631925423
42,17875.164229469072
43,4194.0768094312725
44,9720.518904989265
45,3382.54114796942
46,18767.062560743885
47,15198.296096518738
48,19435.68448259675
49,11546.777013725614
50,12145.066036102642
51,12802.76854150494
52,15440.489883504273
53,11899.073548184726
54,19210.334088212414
55,15924.77351903892
56,16938.899030284865
57,8332.53341891131
58,9755.652292336761
59,9139.260442684665
60,11418.98438772367
61,13258.54259526874
62,13258.54259526874
63,13641.53749179925
64,10507.782652786513
65,17243.24908959028
66,9625.713854735044
67,19132.812126050118
68,17958.5018737653
69,3682.0477063041926
70,11808.417572388602
71,4293.311626621985
72,11723.483349058042
73,6328.184314572526
74,14485.786399099068
75,23192.983203283016
76,7410.329941393364
77,15188.004134496017
78,11879.600865521823
79,10678.061669128434
80,16221.12663505718
81,9326.717596462768
82,14296.06023115497
83,13537.662150639304
84,11698.328715162612
85,15260.747682316021
86,7731.343397050042
87,17670.542215998805
88,17938.410704136844
89,11808.181553866396
90,8771.02534697577
91,10501.144509830348
92,16719.266178373535
93,11084.498542171516
94,7961.639118221849
95,5071.651302529508
96,4255.255162692014
97,14082.389453489619
98,10970.942363382668
99,18876.07334849422
100,13369.457026661878
101,16467.359589786145
102,14034.495838755043
103,17478.005597935175
104,11799.34517348409
105,11930.4392818795
106,2398.2874647163158
107,6052.875781618799
108,17427.842635859688
109,15141.650646671702
110,18078.681496090783
111,16747.781494551586
112,17302.572527778622
113,12437.38185790764
114,10105.302916130395
115,8784.599235947706
116,3167.638636026235
117,8718.187021838341
118,4189.056801707525
119,5161.929598808769
120,14871.853567522225
121,14848.95218825911
122,14628.597903419386
123,107.14092777008189
124,12837.04030283914
