,nearest_farmland
0,1852.0659021310505
1,2993.819115003115
2,2396.605798637586
3,25.047643345173945
4,1159.5782922110002
5,3392.537263164764
6,6411.921079049225
7,4150.917150279307
8,267.792123840475
9,9632.928628616719
10,567.4726977092103
11,2106.9554165156833
12,892.9370002329446
13,1949.7382928383063
14,1022.6744557892578
15,2886.149946656849
16,2619.4987870224663
17,3137.2905759588325
18,2013.925533887443
19,1415.202065956176
20,2014.6666510009745
21,7196.6943334187545
22,2708.7012048827087
23,5308.7058932494765
24,898.2908195633333
25,8380.68005756913
26,3865.1919373281253
27,2386.1073536146864
28,4913.394040754194
29,5291.099203248138
30,4135.247924917341
31,1650.772810141884
32,4576.54770086995
33,799.5624220679675
34,5548.81960513465
35,1147.3838204065355
36,2198.4272755917264
37,442.5418737520081
38,1800.8482774689007
39,1256.1396483419576
40,2734.7212332958834
41,5470.329636745719
42,5811.974537976167
43,1766.4722340106518
44,2886.149946656849
45,1907.746557754428
46,4265.043257015946
47,5688.32568978517
48,2369.463956645849
49,5600.824203092482
50,1029.5168043717874
51,6653.3636278576405
52,2251.2030652786157
53,1985.6140484859643
54,4210.144413275262
55,141.99453878389016
56,3046.436733975661
57,5999.154671981993
58,5634.067237773147
59,6919.438763093461
60,907.0690328175417
61,475.0218641457178
62,475.0218641457178
63,2767.3307314368494
64,139.1274347061457
65,6251.841010445695
66,6788.978906897702
67,4541.61559944358
68,4732.809628666936
69,1733.2795643247377
70,2085.9538062922306
71,1305.7723848686087
72,5055.731938439431
73,1514.467237453143
74,2205.4265760374997
75,658.7453657447553
76,1704.0892697065326
77,3003.759334338498
78,5679.927296812726
79,6405.638687059447
80,1782.0628345055266
81,4420.302536615985
82,6253.230932150788
83,5411.965837210302
84,5570.385954951666
85,6956.974573599017
86,4066.019703053457
87,4818.612508495635
88,5450.64018904036
89,5704.463618533272
90,5694.465340197405
91,104.61084072274258
92,1519.054022590526
93,1621.6060931962622
94,3626.3916293421
95,2709.5193338325103
96,750.0297611949354
97,7553.560433589745
98,3019.675975538204
99,903.8231163952606
100,1223.7396279364234
101,2444.37299860552
102,8914.233872285795
103,6388.30546270965
104,5597.809713776719
105,4814.313872547072
106,847.2599660944721
107,2980.290619002794
108,438.31585575510377
109,3849.7487669125244
110,6708.5430503932685
111,1908.4949847478642
112,6514.4185670681245
113,5768.167474088091
114,4285.972480392473
115,4360.129771043973
116,996.1324259220282
117,2783.655580849446
118,1141.8307401475497
119,3877.6231384908683
120,5081.102207986754
121,4599.460498715348
122,452.10790993259724
123,207.7542516851901
124,6702.934194861951
125,139.76362473675235
126,2443.613204070885
127,2781.376930525327
128,5730.924195511931
129,2213.745605331529
130,2405.5431069621804
131,2506.086149863148
132,3379.072304609902
133,1187.4765301456725
134,4963.267957094994
135,5884.947984310758
136,2495.291503118721
137,1622.97486270958
138,323.5013592011064
139,3423.2226258289406
140,586.4638500968983
141,4551.392292926333
142,3249.234678428752
143,721.8465097480162
144,5178.691610393232
145,5149.046732411418
146,5881.629354162357
147,1560.9371705887079
148,5448.612945999845
149,1214.4196553323625
150,3355.614027932839
151,7376.071007615258
152,3441.29990237146
153,4821.235464198419
154,7248.2132789333855
155,5882.454183321038
156,3263.9542950812565
157,1960.0844315141974
158,8423.119241184118
159,8423.119241184118
160,6756.968343024139
161,2805.389791891334
162,6408.941842354722
163,7818.815260004535
164,5795.374121919892
165,5767.888390728004
166,2556.4101441105945
167,2309.5019988548283
168,6698.158192433
169,1033.449217323499
170,2486.043506368932
171,3645.896122063104
172,2454.2981536339453
173,5687.113621047522
174,7949.076730358932
175,6520.470295915764
176,1546.4427976011448
177,489.03627836668727
178,546.5772007439418
179,7037.357665817208
180,792.8138760578505
181,3241.7967377760865
182,3500.116885544297
183,5099.926490554685
184,1833.0336083947009
185,6370.741676054498
186,6761.7160236013815
187,620.7282435991243
188,7446.3949344139155
189,373.6817426442599
190,4712.765278598099
191,3795.8132284569015
192,8530.961357037253
193,500.4322404515036
194,1052.3119884991017
195,5975.378968031071
196,6592.196644182035
197,4579.2025545065535
198,4360.3870378538895
199,1439.9931378531035
200,7910.5576970853945
201,3341.675917793517
202,443.33050040126
203,1247.2810933717992
204,1014.3745657882483
205,2868.973515010503
206,2307.0352703552294
207,2859.9795002102815
208,929.5519817204747
209,391.40153739355634
210,4927.272557721801
211,4091.158356475678
212,373.6817426442599
213,656.7171821080349
214,2716.4372575050015
215,3927.2271496411217
216,6941.454758820728
217,6843.242296635843
218,972.4036193627342
219,7047.210389051855
220,2314.1333999655544
221,3308.80708847602
222,3003.759334338498
223,5277.075507533594
224,1400.57389577339
225,6151.663378288615
226,1902.3580747965493
227,5243.465588110322
228,2117.6368412740403
229,8631.25577188385
230,2349.392094147734
231,929.1835960888864
232,3803.6051340127956
233,1722.699484279461
234,2377.2805180043106
235,7487.894956439814
236,692.8181254793452
237,3492.357032416049
238,5859.607086778918
239,5544.4909090799765
240,1099.0667768842404
241,1099.0667768842404
242,2368.71198442539
243,3290.8319658026758
244,3714.1483971046077
245,1817.5734240547918
246,6534.162739303552
247,3507.9907737463905
248,1380.551415733303
249,2856.8960452406277
250,6257.564713302984
251,5010.948537646654
252,797.349604870583
253,407.60987075010206
254,464.60707532446804
255,3421.2453739714524
256,999.272290969719
257,2686.129675673087
258,7673.18459209342
259,7303.815989020701
260,7752.534938982526
261,8034.324798460693
262,6009.805287787702
263,1958.0261203829193
264,1483.4028950429968
265,5341.935696154603
266,6490.799328002945
267,3167.0844934708
268,2595.491876067769
269,4126.76722289955
270,3800.8811995325264
271,4902.224557609463
272,5499.479920798843
273,5640.739057323627
274,1510.160882706891
275,2403.6351461973177
276,7194.1967473777195
277,1877.01400316851
278,741.0345315395858
279,3825.2950572866052
280,8093.000114736396
281,1279.3536180228548
282,4880.101784919479
283,451.98673880953396
284,4715.335294072371
285,1624.0884550938606
286,3685.2454572970173
287,8290.541128456272
288,3057.7447332257916
289,1490.4179283227338
290,6553.16394285752
291,4061.6541068677543
292,2305.8080579668313
293,2255.2732221569445
294,170.7668261625824
295,3101.2455934883496
296,4982.648227582085
297,5370.30989717946
298,1502.925478333156
299,3694.1335974331023
300,1190.3899031538588
301,2578.2758733334254
302,5866.145376483226
303,1180.326568698506
304,1685.1337655791501
305,3164.2064923126914
306,3326.9454046680644
307,1427.127601871538
308,1950.826975959469
309,6591.426340323265
310,2557.0185816703656
311,4468.0116158222145
312,3462.7647506447806
313,2644.066745381946
314,1845.9219989226606
315,35.54883657591876
316,9381.06310971628
317,1602.577067539973
318,932.7059000806236
319,6552.301028934704
320,5521.927642849006
321,38.426397604895236
322,1494.6572918937575
323,6827.539298537841
324,7149.300761704261
325,208.76641352994045
326,5271.642750816923
327,4083.671307531831
328,29.033243255837995
329,6208.829381230384
330,3986.2082193260876
331,3599.275581397746
332,4496.638122626965
333,5110.281353354285
334,5686.314498780087
335,3028.2626061962237
336,4502.031541256067
337,303.35871011823826
338,6228.2600816623635
339,1327.9729838178646
340,3733.2407797711876
341,803.7834126095385
342,1842.5747703979991
343,4756.83829496349
344,7983.59142218084
345,1255.8716969645416
346,4366.219346848806
347,4731.7575701103115
348,4802.199749811465
349,7110.273380330932
350,4237.770120567618
351,1174.444951604802
352,4124.0895695281
353,2565.024832526964
354,451.98673880953396
355,4027.2385373028787
356,1537.3123771415605
357,2819.3304859993445
358,524.4128634030358
359,5266.757850712235
360,1776.062083810993
361,1336.9110632499453
362,1336.9110632499453
363,5356.23448385203
364,6729.4551500820635
365,6566.6432868124875
366,4453.8293570670585
367,8164.300698652723
368,5896.296837873669
369,1264.5409840704515
370,5882.033628886231
371,1399.6915768593403
372,3866.3302739508927
373,6447.640475074826
374,2684.476664724702
375,4851.0631941846705
376,6387.34928623599
377,1549.0283893785834
378,7552.17410249703
379,177.01205246178117
380,197.2886738615695
381,1492.0479568194075
382,7219.728057935837
383,5090.612492676198
384,3075.031721934705
385,3642.216550202629
386,3779.251654351915
387,2394.6387429587453
388,934.154107733557
389,3827.7344250827987
390,475.0218641457178
391,8555.106617773246
392,1001.1257677922833
393,3890.438729300791
