,nearest_farmyard
0,1852.0659021310505
1,2925.4677100445915
2,2413.0121124594643
3,228.0725643436044
4,1520.277144547873
5,3504.4402641473234
6,4463.858079349521
7,2962.4569760134204
8,880.7662808443039
9,3697.766619872865
10,624.3091997240457
11,2176.250008874624
12,2323.648506477307
13,2100.64405739137
14,4351.754365764196
15,2815.0379559194685
16,1143.2882495833903
17,3137.2905759588325
18,1897.4843319556048
19,1418.0197395632636
20,1900.0558266259577
21,2126.905762767
22,1256.1839152492792
23,3108.679307365812
24,904.1685956384233
25,2500.5099945865836
26,3890.751709203969
27,2780.999824183948
28,3319.2020399314306
29,1106.6228710922292
30,2079.2422107493085
31,1291.2992519580232
32,5567.239106624897
33,5004.3275438290375
34,353.86324074787916
35,1605.0298388392077
36,2406.977979044824
37,444.7509174370848
38,2401.410189462245
39,1845.3527023443357
40,3398.933338125664
41,6356.804144367792
42,2147.693700057751
43,6481.267172166621
44,2815.0379559194685
45,2308.980564082186
46,1448.8211845564679
47,1789.0206220807881
48,1924.9101468330166
49,3533.7443741070015
50,1064.8592001795305
51,4577.2641630298995
52,1445.3875240391699
53,3564.0780852950575
54,3130.695685064207
55,1429.7830056583964
56,3043.181444870581
57,6057.098741856781
58,5672.395704722353
59,5856.0998383900815
60,907.0690328175417
61,1028.2952428202452
62,1028.2952428202452
63,2769.436281531316
64,545.7738547726767
65,735.9955775453067
66,5428.038360584096
67,3283.266850920384
68,1417.876702131781
69,1756.3522195646656
70,3579.831075169111
71,5808.381464365927
72,5071.909101061616
73,1607.4888762591243
74,2200.462039337068
75,1563.8521763087622
76,2396.194439482383
77,3162.00640872892
78,3969.6719383451723
79,3730.634091512561
80,3563.742155318545
81,4197.231352499251
82,1489.5255017698712
83,418.55897869256677
84,2791.0342447180287
85,2096.9964353463565
86,2619.4605276200896
87,363.63167970323843
88,2262.6203002172874
89,2598.429938848041
90,5748.513763061057
91,660.6344120690051
92,1725.2061544751166
93,1544.6473442943118
94,1559.9951914272674
95,2646.699841384805
96,1507.4219994277253
97,2121.0827807213777
98,1608.9762825412542
99,2367.4258241521866
100,1710.917687441274
101,3373.9413420651695
102,5945.7438122076055
103,587.3554762357159
104,3704.8389647873264
105,6338.703593735872
106,2552.2336988579887
107,1865.528502717306
108,1563.857105936262
109,2792.7318444980497
110,2578.82030342374
111,959.2738014846461
112,538.0831914092505
113,3616.6342451257224
114,3859.359046014393
115,4420.41307798701
116,1474.9304446931073
117,2783.655580849446
118,1367.026499063107
119,7135.144123011435
120,2224.2907732443146
121,2403.1155945622154
122,783.9264952546944
123,3633.729832873156
124,1567.7436666052718
125,3707.9654908814005
126,3409.839214569681
127,1112.610372901379
128,3355.510357092513
129,2656.045056628438
130,2507.9629470827513
131,1445.090334389131
132,2558.484414344467
133,920.5059168251477
134,5024.650444948405
135,886.3315751358188
136,3008.09239959654
137,974.0414630414131
138,564.2702860910865
139,3296.4349022697484
140,1046.4611631003074
141,2431.369174178555
142,2348.237685210304
143,1478.717930461758
144,1813.6288191926863
145,4592.644700141883
146,3435.3471402616424
147,2058.7898602733735
148,48.97905847547811
149,2200.8074371678367
150,2448.28861654211
151,3805.3232144915114
152,3531.0723473982134
153,4121.130041352936
154,1172.179065733444
155,1305.908863302104
156,4831.264609335975
157,2437.5735362013243
158,2305.450156250895
159,2305.450156250895
160,7420.625012349089
161,2734.3137139263154
162,4547.798848179132
163,1996.3878291043284
164,2200.8634070816247
165,7110.220208597765
166,1962.3280847349947
167,764.163644453819
168,1490.1347275066619
169,1766.7461734212916
170,919.6143218856057
171,5247.3225725190405
172,4042.4140683231517
173,1568.3583559303156
174,1803.4994397221344
175,3035.2235067699803
176,1527.5160213918307
177,889.5110753552458
178,2050.9870548396634
179,5334.414338813408
180,1027.8233833297395
181,4400.767120726366
182,2380.5884880494696
183,3950.2986664075047
184,2760.9947758561757
185,908.3444831434692
186,7404.351471712097
187,654.5954194225603
188,4632.337696924508
189,1514.4152572913729
190,4754.300851702115
191,3869.790584061154
192,2784.4862713164357
193,1365.3295243849489
194,1191.274846448394
195,5953.718167177691
196,952.2396668488149
197,4208.877273874193
198,2549.3965608826766
199,5506.375968789576
200,2056.00655734916
201,3347.015328257147
202,818.7811405560177
203,1587.8722979792535
204,1646.5392851630363
205,2470.209627695032
206,2342.0326140931893
207,4034.5776537552283
208,7198.005229198159
209,948.2045836054554
210,1817.3822431530284
211,4147.319699380491
212,1514.4152572913729
213,1143.484347706063
214,3114.3734256272633
215,5511.545148609655
216,5632.521802873151
217,5543.902049327354
218,968.4002723912332
219,5619.554835646457
220,2705.047543788609
221,3826.365826637695
222,3162.00640872892
223,5061.362610324183
224,1198.2767922882188
225,5668.994559210779
226,3369.389897542707
227,883.2156599107564
228,3862.468506367105
229,2908.8886777252646
230,2598.3160967451417
231,7207.795508654028
232,824.2087151531935
233,1923.9665211899894
234,2624.901384018618
235,4624.921764696798
236,1369.20744888871
237,3039.0944192648517
238,5864.423029328522
239,5135.370522436816
240,1405.880744826304
241,1405.880744826304
242,2644.436742951296
243,2354.920722249128
244,1697.8332521688978
245,2745.3834463537573
246,1258.0142656906467
247,1545.8832083810853
248,3478.237036726102
249,2254.907994212201
250,1381.579380034911
251,1987.256535243058
252,1230.989315961729
253,3677.172392656772
254,412.9965642934679
255,1064.0058012353393
256,985.7345080258181
257,2686.129675673087
258,4877.64156531155
259,2233.025470580099
260,4927.635732522616
261,5204.59799716531
262,5822.844324051563
263,1958.0261203829193
264,5531.5728955376935
265,2132.0215750580924
266,3731.1492651383833
267,3167.0844934708
268,2595.491876067769
269,867.9492957191986
270,3840.322813170506
271,2452.1510847247882
272,994.9479706812151
273,1173.3332302509846
274,2109.329925884537
275,2421.02805852572
276,4893.697344858825
277,1877.01400316851
278,1698.263826318168
279,2087.851655463515
280,3868.3150172959167
281,2265.1609202519003
282,4094.203674284276
283,681.6210033343591
284,3861.863357796571
285,1730.7304331409475
286,2750.111434102382
287,3766.3385662611317
288,5354.647093481671
289,1756.6977726152168
290,6243.254229037897
291,3418.5175036825985
292,2667.200147603467
293,2397.8938015507933
294,200.32613565640824
295,1571.981671527301
296,8111.326828026708
297,198.097714555877
298,1821.0365924675273
299,3673.936810617032
300,1541.081787444974
301,2982.1659406107547
302,797.9749092390551
303,1582.9138113560793
304,1600.4714632308853
305,3313.0969124906755
306,3326.9454046680644
307,1194.4692476593957
308,7582.715609104517
309,390.552631440343
310,2503.0850553100636
311,7479.011918482276
312,1932.6049065050652
313,2772.5114518204537
314,1794.650800645698
315,385.8646452723099
316,3234.707705369948
317,1597.794525325074
318,1260.2583098979417
319,1122.3905569895792
320,3265.536225293646
321,406.5136628054704
322,1531.8830823747842
323,585.8668300026426
324,2150.1828815370204
325,1716.9760890131931
326,825.6460188464876
327,2912.348597747709
328,234.53590925401693
329,6734.629224734082
330,2643.689177470722
331,2020.2811365625605
332,4483.030797026067
333,3488.3284631330325
334,1067.4380145152345
335,3084.362188110263
336,3214.481678468306
337,1284.622429896873
338,3695.17201821041
339,1400.5668005575715
340,2434.295287465753
341,2255.730431501575
342,2157.0213956082825
343,4574.113912846229
344,1658.4358985188837
345,7668.82568849167
346,2705.1083613768837
347,1798.4808042524814
348,940.8585225496712
349,3701.7593566144365
350,2802.038110785482
351,1592.941532794181
352,4103.308688133416
353,2554.6994623267437
354,681.6210033343591
355,770.2695533778367
356,1747.6089558429223
357,1266.3114672499516
358,1747.805407541243
359,4356.78789268883
360,1820.957963803702
361,2177.487233102086
362,2177.487233102086
363,5425.114018250807
364,1043.0623333039057
365,256.8438629314354
366,1624.6511914428245
367,1781.2778224966135
368,7482.678294794323
369,2666.447327346378
370,3681.471038764882
371,1387.9511988454042
372,3947.322129796466
373,5077.093577500511
374,1523.5043674567492
375,1836.8181337195028
376,1346.0664131860508
377,2633.877975466887
378,5262.589649805465
379,1478.8741400609938
380,197.2886738615695
381,4666.473211572374
382,5016.172884419361
383,4683.860179691714
384,1688.810074344296
385,2251.880581814775
386,2575.596251419348
387,776.1356850363217
388,2009.7338411373628
389,3809.196985452697
390,1028.2952428202452
391,5078.180266769257
392,1310.3914842504748
393,1613.239088796307
394,3267.415197115275
395,3290.475741685252
396,3986.0732313581225
397,3771.9493932248674
398,1223.3747649087227
399,3399.8495378296916
400,7119.828979213251
401,1593.8525216008627
402,593.8259341336747
403,2135.247610746085
404,841.1236505909452
405,4761.976201687317
406,1240.0872760862924
407,3562.0476399847544
408,1061.4871084644249
409,4524.716795614889
410,2576.8197564792376
411,2751.928108623995
412,1880.2962746181367
413,2083.5492450961838
414,3080.983704347046
415,3453.2265132844873
416,3480.1591181596887
417,638.8390388904123
418,7406.807033000322
419,1757.3216686720452
420,2704.0279902285065
421,3276.058505338729
422,2241.6692068177617
423,3969.4459508442706
424,4113.955405891602
425,3464.5310536223997
426,1150.5774603941472
427,706.1201335512725
428,4159.401453846239
429,2245.0218437456965
430,2065.97861557262
431,2076.7427628381756
432,2303.2830486334383
433,2538.633945129114
434,1157.4221153917615
435,3001.0239390045485
436,326.85583965393755
437,2376.9229211610673
438,873.9726915883799
439,3619.0538277404826
440,7643.528955284083
441,5339.143485820314
442,154.75195243849285
443,3360.421470546009
444,495.26414351814935
445,2455.1571464225185
446,1487.1329332595406
447,974.106758931947
448,4228.311586356928
449,331.5522294603072
450,2123.432616168831
451,3282.5535065060767
452,1744.7433425890408
453,4487.729697420376
454,2961.8918344503054
455,3389.0491872247744
456,1458.406222749154
457,4558.572595887292
458,1333.0343119170343
459,2380.9487327785114
460,1668.9361632009834
461,7729.678738689368
462,2141.1134595385242
463,3573.210987384699
464,2463.8049323607697
465,3891.085992345407
466,2463.8049323607697
467,1291.599668309408
468,3602.7852997602618
469,3308.3572221391123
470,855.1085360229578
471,3602.7852997602618
472,1334.249777660274
473,1306.1536039279292
474,720.4222990727905
475,1348.0685193380923
476,56.829930478979286
477,1923.6461561541032
478,2410.701363915004
479,2437.180817229431
480,1137.0066588902591
481,4500.312739847112
482,5499.465661670634
483,1955.9093910669917
484,1778.9567254441247
485,1719.9111670935147
486,1114.8544661011013
487,3619.572137792325
488,2834.9981492816028
489,503.718043867147
490,2437.2478772124086
491,1479.1030019721034
492,199.81155148364508
493,1521.9085773983143
494,1210.6380682601236
495,3916.42806316786
496,2891.643390186481
497,1066.0394204500644
498,3424.7946246431284
499,3050.5627394750186
500,2818.776216863676
501,1875.7310318973073
502,2443.0957127330303
503,1409.2734909881158
504,1482.551925958725
505,1975.4297656349745
506,1676.8704275388875
507,2138.3471190752443
508,1688.9837102780414
509,3451.9481168191
510,2206.594069295423
511,4544.936633765183
512,3828.9534243908947
513,1543.4784215642724
514,3888.493382809513
515,1498.1157670541852
516,487.42948969272993
517,1784.6417127555828
518,1598.679937236691
519,5799.612219636118
520,1684.4329518999475
521,727.976740420402
522,1415.1250745532666
523,1734.3621495287587
524,1483.7867500518662
525,2488.266266109248
526,2085.0857316879274
527,1959.5678826618469
528,5051.658325900072
529,5178.184996210696
530,4272.327140561603
531,1472.9260056225912
532,1285.6000662859547
533,2416.7885942365647
534,1975.3838490778423
535,233.5627892718714
536,1375.8510108877024
537,1108.9970971886567
538,2605.5429963691417
539,3935.417061508301
540,4058.7785643960137
541,520.4862490822827
542,1455.0358892811314
543,1157.3741800868136
544,3173.000193793286
545,4433.915540244326
546,1958.8639725597145
547,1338.625747012955
548,3413.692732637304
549,4119.750103519007
550,1335.9939819960537
551,6244.155402411207
552,3183.069909535747
553,2808.078023683087
554,3235.9969159256593
555,1529.7820036743922
556,1358.7111729289022
557,1509.7947024354178
558,3113.6334890564062
559,1411.7210557362212
560,2442.328825271462
561,3042.0802992975064
562,2518.945184953153
563,5131.911823653092
564,3917.189174227832
565,1323.7324797581407
566,5855.298851544647
567,3017.8543793827134
568,3017.8543793827134
569,3567.2994604277733
570,1794.6224348028827
571,4077.7836289755714
572,2135.792918261289
573,3060.212498704438
574,3230.7908999072665
575,2265.1023925095587
576,2510.6236473771733
577,3558.994901966597
578,4326.020467666029
579,2633.992673654422
580,2067.656658183972
581,4122.452112662135
582,1340.3919733609048
583,1173.4762744831764
584,3051.453856538918
585,1054.7146332095413
586,6002.708869570322
587,1358.7111729289022
588,3520.6142346091165
589,3230.7908999072665
590,3558.286565917885
591,3424.712245432242
592,1052.7282868235468
593,2581.0006741957764
594,1658.6028092484323
595,4023.85288155665
596,1108.7686365698723
597,1089.9699721940517
598,1024.4522344565362
599,1083.3630189622095
600,2427.6712208471545
601,1091.3153369824659
602,2642.4221051568343
603,2391.3185683406964
604,2803.1304881293795
605,1263.6913930221983
606,3098.846505366827
607,1060.5925168981673
608,7990.722557860037
609,2527.6576902531174
610,310.60317777946057
611,6528.866022889601
612,3112.094000506564
613,2605.009571510921
614,2032.047997146417
615,4631.27010265825
616,5327.114701456724
617,4524.66372604828
618,1229.037316013359
619,2886.7274999664905
620,1962.7336865940908
621,3389.025170826882
622,525.7844078785449
623,1598.679937236691
624,1061.1562621602154
625,3950.828506287057
626,2785.33082054657
627,3520.6142346091165
628,3601.9044267562044
629,2865.558225975087
