,nearest_heath
0,6232.134892340085
1,2970.028948897483
2,5749.083665240186
3,2117.4285621241165
4,9463.86430899905
5,4705.25995998613
6,1949.5062428469514
7,738.7763930195625
8,3247.8702911162877
9,3393.006122823641
10,3146.202085487475
11,6750.354961633375
12,7125.340497479322
13,6205.033893682427
14,658.1880494215605
15,3070.3824536692387
16,3597.685885305418
17,7518.995042651415
18,7170.866029348613
19,2357.7954448770215
20,7172.996807417548
21,4286.184342151897
22,6172.833683594186
23,2229.4095003194434
24,8028.772674574371
25,5460.5271166228695
26,7925.720922804842
27,7500.539797650683
28,2462.277610604246
29,1060.0874509133068
30,1215.8938300378775
31,7306.759561888243
32,2907.964339059465
33,2398.118526344229
34,4887.223896108424
35,9409.094646702686
36,4871.648853758735
37,9025.327622226101
38,0.0
39,3097.7348689892865
40,4532.031541450561
41,3817.6344798094133
42,2299.816964158335
43,2339.9565995447424
44,3070.3824536692387
45,7570.5923540869535
46,2095.1752239483253
47,4976.169328243948
48,4361.717088621761
49,1107.2834110772299
50,3486.577938167664
51,2747.9828254990202
52,6720.706789106131
53,1405.4178956755923
54,3280.06623173724
55,2879.0929399997453
56,5981.656418721794
57,5809.203179439016
58,7283.806015842971
59,5210.1564582408555
60,5204.014386571163
61,7841.180318715527
62,7841.180318715527
63,7543.23330315344
64,9529.54417513315
65,3652.729638421764
66,4291.863672727639
67,2883.910144982552
68,5874.363897627551
69,2857.1596006395926
70,1680.9021128208972
71,2706.8996499950135
72,6032.258560159906
73,5945.384559389258
74,7697.684347969785
75,8835.277835645087
76,2643.9873092811067
77,1745.945020565157
78,2358.7805590428725
79,1888.0792575749922
80,3280.07253370837
81,2963.768605205262
82,5731.030148130249
83,2997.260063239344
84,2571.5742615216595
85,4248.804026620324
86,2534.5345294458057
87,6393.809177341178
88,2076.470227638565
89,2761.303517650944
90,6155.70607346026
91,1791.6132374582182
92,4872.812603552266
93,4354.959383928404
94,3033.962465363442
95,6655.551827667227
96,5051.09463136478
97,4742.016743216849
98,6001.79044645642
99,5133.660712384693
100,1574.6760220849826
101,2329.8061399837484
102,2376.844689540576
103,6389.8436060809745
104,2291.386612533083
105,3537.640937432544
106,153.90436269047757
107,1865.0965642057756
108,7715.148626749446
109,6097.85554035609
110,1491.302788210593
111,4962.022988924999
112,5386.48943630292
113,8101.488993271891
114,6410.185991090517
115,3624.558349710284
116,8377.773281151167
117,4185.522079100455
118,1933.4723055645434
119,2870.958356105061
120,5453.185503682303
121,5706.752284101892
122,8767.354682253968
123,670.4545422021962
124,3311.1941974577894
125,744.4541399174002
126,470.7114490222994
127,3878.0914118933274
128,7849.243182502394
129,4570.501511090547
130,1963.4245199172829
131,1344.6733217844683
132,2679.961412411066
133,8056.866405380393
134,5783.841072860091
135,4021.678715072769
136,6961.847186941971
137,2387.374545312802
138,2586.294249137387
139,5605.13122053536
140,2021.1154401431224
141,2088.391065342226
142,4822.597290922813
143,8673.831733923373
144,4762.111080229141
145,8583.298837240785
146,2600.6176096276613
147,4038.2328581500296
148,3629.252770544318
149,9350.97688613625
150,4469.055300490598
