,nearest_lake
0,3424.9249660640803
1,1139.8657968280042
2,8172.612567779993
3,1682.9373854588873
4,4923.1819015049905
5,3229.5690663124396
6,1950.067785695484
7,4064.984930723773
8,5931.913083086954
9,2702.041145512145
10,547.8417862859221
11,2435.549565658882
12,4196.69132142473
13,2318.6965448811848
14,2087.728235228486
15,991.6572111918481
16,4325.9070871659505
17,4985.85722259326
18,2878.8343321021775
19,7500.395360298734
20,2876.1270517650137
21,587.8793991359324
22,3342.8910728551023
23,2215.254846936772
24,2263.5374739957915
25,1855.4791963441037
26,0.0
27,298.39015876464146
28,3150.330460920432
29,3204.7320036381802
30,1841.7335334895276
31,2999.0848839185132
32,1088.7332231347814
33,1417.150502572829
34,2012.7827406094978
35,4945.412835894544
36,4818.103419472211
37,1391.3310813314602
38,1757.5970218383632
39,4221.102718899462
40,1396.3225547091922
41,768.1029733710719
42,1929.6772167335102
43,527.6734593275381
44,991.6572111918481
45,8720.9286323255
46,2446.7709939481792
47,3690.4630239353082
48,1044.5613572156788
49,2879.7084601752977
50,1865.1654361507153
51,1580.970616979038
52,2771.803572395274
53,4104.207491385899
54,963.5934263036372
55,3986.250982208346
56,2906.610179347143
57,2154.945952995861
58,1370.8215819498128
59,1899.67556466665
60,3256.670731281643
61,4245.385946615478
62,4245.385946615478
63,828.750043174527
64,804.5759804436886
65,2362.826490948009
66,1579.6623446867384
67,1187.4369565058932
68,1382.2273009273938
69,8034.551696030992
70,3718.137170465159
71,759.2424078750975
72,5828.0626950099095
73,3026.1141605855764
74,1185.8207353310108
75,1340.4949282343812
76,6205.678839731457
77,1139.2449928460107
78,2800.8916731893037
79,630.8009665689758
80,3697.644362171941
81,2905.7027576861465
82,3285.96956130496
83,3387.179327317751
84,3969.0300388765327
85,918.3564847734058
86,4652.074581036697
87,2317.0085401445176
88,1919.2740023141641
89,4076.9708788481344
90,2184.79815119575
91,2140.75234347612
92,2857.3119971488672
93,688.842281966982
94,501.5015305979146
95,854.4715673071349
96,3220.505080367059
97,2067.0474074757894
98,5396.307075914485
99,2042.0177054306253
100,1183.2221122459453
101,4600.293026995414
102,3478.020155350507
103,1108.110356484031
104,3068.690313644764
105,2663.7928729351247
106,216.66660119845565
107,4694.51232788337
108,1528.6740021812407
109,2235.5827199454206
110,976.0437233192065
111,2202.446613298949
112,1908.6435969395186
113,3697.1046633842816
114,6063.698429817422
115,3576.140688504345
116,4256.027542982921
117,2497.5947496735926
118,621.4720388572039
119,451.4903765598189
120,3175.9572982035943
121,2735.332697657476
122,10561.584315569851
123,1788.3792786825256
124,3433.209409680309
125,1752.691955580396
126,1476.37804508813
127,6746.0144175190735
128,3634.9424137722426
