,nearest_meadow
0,1447.8775878968195
1,1316.3494165397383
2,1738.0388027336555
3,30.589694198772474
4,480.06378735358845
5,3895.5097352841685
6,1910.6794748575032
7,2818.118037042064
8,36.718492618045225
9,166.47785845311458
10,469.1191678511771
11,2114.017296898717
12,1086.9281656506967
13,3605.152191879991
14,764.7282497005909
15,1423.0885045363405
16,1277.9828040109644
17,70.17316459939595
18,1184.5629893447974
19,1203.7773084730975
20,1189.6589018420616
21,1591.738832392619
22,3838.581772534899
23,4191.88814780422
24,87.53608993931594
25,1317.5613777354727
26,5120.624591455494
27,3220.2689925209447
28,4223.915411654233
29,3856.705359387822
30,1802.6433023568914
31,1674.5123158565689
32,2188.0342605713636
33,787.6131599124844
34,1033.558776733845
35,471.78993475397095
36,1888.745546485099
37,2169.346934558137
38,946.9160584399659
39,1144.0936274092112
40,427.45764331352194
41,2896.766914330715
42,1234.0882441967442
43,754.1849545546387
44,1423.0885045363405
45,2730.981506561218
46,3626.5222057331157
47,1366.1564620479708
48,761.7885892912917
49,2763.3754593901626
50,1674.7055931765985
51,2066.016775777633
52,633.9404880597532
53,1972.823536955258
54,764.524812770928
55,1332.90269190181
56,231.38259108038682
57,3469.300595954998
58,4861.43032148727
59,229.15886432704195
60,1886.488661326086
61,1514.9957755049538
62,1514.9957755049538
63,3131.2956081122798
64,147.02503855499015
65,928.050739528067
66,0.0
67,440.8928464633887
68,748.2787786551228
69,750.5912197171282
70,1589.5819304222905
71,1190.730721223891
72,2732.598622513291
73,2862.110453719032
74,3025.362433181963
75,321.03047153205364
76,1169.522389234933
77,610.8590442394654
78,3364.230000102232
79,1427.3185888008725
80,1187.0858253237136
81,4056.6465831514047
82,2302.817430566922
83,1934.1483125475017
84,4262.352609611082
85,2203.149706183392
86,2442.5234349449734
87,1372.6714538343442
88,2720.4719625071666
89,4065.2394462634934
90,3751.0266223912286
91,1375.117640380735
92,1651.6748436473788
93,2309.5605406832365
94,1611.4270667123105
95,4081.585171452046
96,2077.7909384403547
97,2894.323837546373
98,741.7901220258977
99,467.06437886275523
100,1059.2929798690952
101,2534.511689661279
102,1495.2288701993934
103,1232.936589902349
104,3688.276468436251
105,949.6191246718798
106,2111.9567325130884
107,1012.1467616434751
108,2103.1878713936426
109,1715.5851115273601
110,2054.8727589189734
111,1238.9422296328748
112,820.4578051398821
113,2888.2934345645267
114,1200.21640344831
115,4312.372973759265
116,2145.993733135917
117,2783.168409101416
118,619.2401338342399
119,2049.582442318669
120,1407.5728086170698
121,1402.373511413547
122,428.5839617175495
123,202.7375115656925
124,2948.00838880956
125,137.63067441945927
126,841.444393031965
127,1211.8874494263537
128,2676.6419702395065
129,25.06570434286594
130,1038.0737023053591
131,1334.9533412239339
132,956.0900263386678
133,2092.114197492139
134,3257.548628907896
135,514.7639610969603
136,3282.0643885626027
137,865.6674997333698
138,415.42964745148777
139,2451.1463841135846
140,435.06317262689527
141,4483.099175639296
142,2831.806802610814
143,2919.7426060900666
144,1077.9828439221749
145,4824.430701895524
146,3651.4673153174776
147,380.8942003825011
148,1263.300249897727
149,1712.783894193971
150,240.25646285678636
151,2395.190227972378
152,3527.7775433160996
153,1797.5607026279322
154,537.5072668698508
155,2922.967005994409
156,2363.3686004631963
157,2867.6617038111417
158,980.9063824215563
159,980.9063824215563
160,5055.421790018364
161,1503.764038229984
162,1953.9427606334964
163,1086.1585681625772
164,3754.890820060217
165,3374.983492845372
166,1717.1695571553255
167,565.132340901684
168,682.8679903328863
169,1566.2273761415438
170,541.7505984806597
171,1612.8593406112518
172,1738.7170531102593
173,1207.267727131238
174,550.1557866300177
175,2970.775224541152
176,1698.293485428089
177,2132.425613336845
178,585.9352227547124
179,1136.2327468828507
180,1994.0440397005332
181,1626.869327895692
182,2435.167968280406
183,2723.311035419483
184,2102.9314983929694
185,1025.4412411712708
186,5075.666296163748
187,70.53799998502544
188,583.6757632900493
189,173.96263552643225
190,4551.618324254223
191,3079.76854518438
192,757.8406638278426
193,1205.3943611811808
194,807.6711884298692
195,1799.2530797533134
196,815.0894650636602
197,2622.047186193765
198,1326.9157276790686
199,2017.5092947710386
200,1075.5327031102454
201,833.0314542252029
202,996.2340364419042
203,1580.978979948598
204,720.0756605196954
205,2372.950743399218
206,1038.328921824445
207,169.59622920670407
208,2339.8546849169197
209,1466.5783622262766
210,1037.2814399640772
211,4390.7659346888495
212,173.96263552643225
213,132.2934912392849
214,2690.41548983967
215,1666.0355091890779
216,997.8733144588746
217,11.153642672297423
218,126.18880085008006
219,932.430326586598
220,1772.227656081882
221,1483.6279630409622
222,610.8590442394654
223,752.4046877153959
224,1097.332466884
225,825.0337837408127
226,1159.5632414629122
227,1260.0009447548807
228,1444.2407542402352
229,862.1321598389075
230,1085.6680632257776
231,2340.151652450752
232,3046.14007026159
233,470.5218883336817
234,1115.7494405708453
235,700.9767646542657
236,1324.2603930212301
237,2260.7282972433845
238,3258.3180116566627
239,1426.000108392955
240,573.8527356277839
241,573.8527356277839
242,1537.29434637053
243,641.8000996773609
244,1732.9818799194252
245,2087.53664211869
246,2426.9521353132195
247,546.0250439446211
248,2900.0689623827807
249,527.5889341522682
250,1386.3122912621209
251,4580.28497441438
252,580.096586738778
253,291.6973365681346
254,163.44752738698148
255,615.6275974644624
256,513.646553959881
257,2445.312397547186
258,863.0705131754235
259,1585.523805194879
260,31.28422668654892
261,1125.1307137233182
