,nearest_water
0,783.4682428701739
1,602.2016727468966
2,251.25610975422285
3,119.26507108890868
4,916.0244681894161
5,1294.8137162148778
6,105.41908305536326
7,271.334745423971
8,1580.5927911231236
9,9.941181543204324
10,304.88390912723816
11,71.22822310892298
12,605.1532748311033
13,629.79185191563
14,680.031502839079
15,700.8435226185779
16,446.4093182342607
17,51.43933662315399
18,606.8251557525399
19,549.3913081541988
20,603.6915871027487
21,456.1300075727981
22,360.2625517840705
23,1033.7746531505393
24,20.684632775322672
25,131.4334540841361
26,0.0
27,298.39015876464146
28,493.4667622379463
29,224.15293368549592
30,585.771722657838
31,942.7769805735988
32,76.16663813556413
33,402.66706629800353
34,643.2856236278858
35,887.2405847898797
36,435.20193478164197
37,80.56161038426247
38,87.83787894129712
39,1034.7237929248738
40,1085.5124773540508
41,66.21742810936391
42,424.3200079325174
43,157.55200312686281
44,700.8435226185779
45,1421.5538332079404
46,5.001460736079561
47,180.58224993856487
48,426.2512168423422
49,658.0924929905648
50,731.7505133537076
51,559.0422818393623
52,584.6271899477168
53,0.0
54,799.4832368084627
55,595.8826615926084
56,450.95922492298877
57,713.4241715927832
58,569.0332035639884
59,684.8324652531986
60,441.7370423684367
61,389.5964158839258
62,389.5964158839258
63,135.56290163280119
64,791.5452449837221
65,654.0858560311498
66,0.0
67,700.9484308046896
68,56.935764531396885
69,1066.1507578423405
70,0.0
71,556.5698694887735
72,364.79342417543916
73,379.4252771592724
74,88.18662660201764
75,637.6422994023562
76,0.0
77,199.7296959307309
78,710.2265137435461
79,528.058677166393
80,652.4469399250848
81,648.8914447393997
82,264.7163159349754
83,246.7736861202879
84,1422.9866300734775
85,154.85301040125992
86,0.23426927135933875
87,376.32451468530854
88,399.9895917925908
89,1492.112475068532
90,320.6553899136008
91,1060.9867847038008
92,433.06581896021066
93,688.842281966982
94,501.5015305979146
95,96.1443538458725
96,779.056868794911
97,1122.3808903646138
98,419.23735343023105
99,640.4311334799802
100,448.6854911107778
101,330.3015750151316
102,310.43309302808717
103,605.0980135609277
104,998.3418917906956
105,0.0
106,28.574358024914957
107,1124.8628863202507
108,391.82241772996457
109,481.68167754229455
110,592.9945478419513
111,372.1201250773743
112,87.87525398639227
113,1656.893687904355
114,927.7031633383317
115,710.6788420973148
116,1045.2819397908304
117,509.11599747318024
118,538.9099509996502
119,450.614361536869
120,517.6777341724818
121,554.5908059288632
122,845.161127811417
123,480.43457534201855
124,957.7748818605869
125,475.73356452696805
126,200.26452469448978
127,424.3130592377143
128,1797.6352035897444
129,1128.9828904109918
130,678.0604343410653
131,1630.629255721292
132,663.0668413094849
133,376.2078191234149
134,406.17129223240664
135,784.8774883941205
136,1065.294205938801
137,368.993046629229
138,162.6674408227511
139,327.51901018769877
