,nearest_wetland
0,2531.228252676933
1,817.8706723727266
2,642.2094320739196
3,842.6893137382676
4,7812.683208938284
5,2745.510590468614
6,1013.0371159744478
7,883.4174621406943
8,5854.7018725290445
9,326.1277983424854
10,8148.615223460458
11,2904.70493050925
12,667.6287224264197
13,4183.754147874501
14,2099.2371307225153
15,673.2780725006669
16,1817.4186719858226
17,2647.9324393261268
18,1466.3128797580575
19,4871.8076259488935
20,1464.2788716310085
21,475.0705012546832
22,4451.38616573547
23,1030.772866713651
24,2516.8291056517255
25,354.2257022648477
26,4351.6532371856465
27,2524.7539997937947
28,1837.0690474769235
29,372.4219764697419
30,1786.0453194724075
31,2187.291474364949
32,1205.6503500617653
33,1826.7418019628483
34,1992.7886092285742
35,7829.9040673149075
36,4124.796840691286
37,2762.6359184213866
38,539.7186859817732
39,2403.859346111577
40,7206.474621465915
41,875.333042107599
42,1196.7448979806904
43,932.5155315058455
44,673.2780725006669
45,2689.5039851141883
46,1143.194165115249
47,591.40561621148
48,2286.142523501434
49,469.7147254968795
50,2038.7250332202268
51,1427.7438442524578
52,1606.4177760859625
53,9.149066368556712
54,1547.3494315732557
55,3321.8222975999734
56,5710.001679140938
57,2237.3264470092286
58,3727.6841251447104
59,8520.621863446757
60,1854.4541956675303
61,631.9821430195149
62,631.9821430195149
63,2586.84503505575
64,1106.7195329813148
65,1857.19500653893
66,7871.184768645381
67,1966.607777053641
68,556.8344984579675
69,5006.99880556156
70,0.0
71,1323.0584523066664
72,4896.155335519682
73,4483.426232437526
74,2077.098579592772
75,3163.895835837876
76,2029.2490708553362
77,959.8857872611012
78,1280.7205251510643
79,5178.179028000653
80,1250.9725082048012
81,926.1341199048957
82,1960.8381433334155
83,1885.3941921576707
84,1800.882351195655
85,151.7141847614375
86,1626.8129642790223
87,1456.0595621577559
88,1178.7669877411506
89,1758.153342662419
90,2669.361056220088
91,3053.0714275601567
92,2840.7865647513786
93,787.6626686117145
94,4555.139219107138
95,2772.458782782846
96,6223.902019434347
97,1367.471557891171
98,2274.0237809446407
99,4402.387784011873
100,1226.9999879346574
101,5127.355882830291
102,2088.429837799102
103,1473.907155470416
104,1548.4786719894826
105,5861.777808070618
106,2184.9408534378863
107,2930.1629441607247
108,2409.0048515159933
109,1517.3753885071058
110,2710.6679115562283
111,2183.019382414676
112,820.516255047691
113,2720.2254604239165
114,1625.6672002499536
115,1649.8682831574265
116,6527.456279156484
117,478.66986965440094
118,1544.5369272665237
119,2552.0913649641566
120,515.5589330146067
121,680.8132051825464
122,11723.413735901757
123,1407.94347229923
124,2345.2989385126234
125,1481.1771415602664
126,731.1426123172013
127,601.4915000556862
128,2591.2308574745907
129,7187.288358822431
130,2069.427432352117
131,3223.7650952619547
132,1154.93337392058
133,1138.6115720951714
134,2812.0236032761454
135,1459.916488138282
136,2037.7984674639981
137,8225.252254337387
138,2910.761064350952
139,1777.6490299776626
140,4857.58505960664
141,561.5017057565739
142,3113.568079140757
143,5507.444693221076
144,1811.197310860345
145,4195.449115753665
146,1809.7615192629212
147,7812.292694426486
148,1366.6340279686929
149,6375.603714966423
150,299.0077682996909
151,3330.6339452947796
152,542.4911400364504
153,2442.31875321895
154,2510.202402342594
155,1389.3701834059498
156,3502.6559355195104
157,3877.7290472118793
158,1557.627962332151
159,1557.627962332151
160,2928.102505331165
161,634.8913367040699
162,1006.7140945937792
163,1603.0366712793698
164,887.8920391571216
165,1319.726998619531
166,1199.8211617485556
167,2501.994859506637
168,1936.8814895704818
169,5370.923034376846
170,2607.156280280283
171,4474.559491037292
172,4127.823624010325
173,2092.2907687971197
174,2116.3768344853984
175,3409.273063548414
176,798.9276333507418
177,1690.8312972159897
178,4940.111959599876
179,4625.514570231861
180,394.0590253800685
181,1498.6912065379868
182,1977.967905225728
183,3957.448181804388
184,1222.1205904356661
185,592.9286075846777
186,2949.954879650333
187,4924.827347719243
188,2367.187078912489
189,3050.4518905924697
190,3909.380166020678
191,1998.5369484678208
192,1658.946723301273
193,2823.599557757714
194,1797.7706029072735
195,388.4199726958453
196,815.3077155973773
197,3479.0165736900267
198,1518.9676532645233
199,585.3020242504704
200,1506.9554722227665
201,2365.2064185710005
202,10330.179835506891
203,3825.583740087561
204,5824.599544643492
205,1779.5803365592496
206,2408.7635031661134
207,5838.00434482187
208,1716.5296906592068
209,2004.435606981531
210,1495.9906281131366
211,1930.593461782624
212,3050.4518905924697
213,1080.129207642603
214,4539.67100755555
215,4106.433045515277
216,4860.6856786120825
217,8136.783117693918
218,3806.898768484546
219,4743.475662977081
220,3809.626873292956
221,2063.127836101493
222,959.8857872611012
223,328.4632537826303
224,919.9529287665703
225,6568.486332767329
226,4404.235631380127
227,567.4306395424369
228,4339.659492982942
229,1610.6240583733202
230,1906.2164941531819
231,1719.3614740150497
232,1767.1279369638223
233,1166.8846013074467
234,1922.4323023768325
235,3703.0520636040937
236,1223.937361167791
237,471.52402967723407
238,3995.9527660435815
239,1426.1647537494223
240,1469.4512210950832
241,1469.4512210950832
242,3346.7923402615193
243,2919.1942433979643
244,2272.239379562839
245,1211.4401899437019
246,1972.3149894405647
247,0.0
248,587.1265673728573
249,3379.3965832506988
250,979.9578133609066
251,628.9650969612873
